,id,name,photo,reviewCount,address,phone,rating,url,latitude,longitude,categories,neighborhoods
1,PgPw-6YU3Hny5nQx2qkzUg,720 King West Dental,https://s3-media1.fl.yelpcdn.com/bphoto/DJhyEIGN8zS6_h4iWPFipQ/90s.jpg,52 reviews,"720 King Street W, Toronto, ON M5V 2T3, Canada",(416) 703-6408,4.5,https://www.yelp.com/biz/720-king-west-dental-toronto-2?osq=Dentists,43.643917,-79.404211,"General Dentistry,Cosmetic Dentists",Niagara
2,Q54d8ehZl_ZSCRArMA7s0A,Yonge Eglinton Dental Centre,https://s3-media2.fl.yelpcdn.com/bphoto/BltLQTrzDkPQXRUyOHxJpA/90s.jpg,11 reviews,"2345 Yonge Street, Toronto, ON M4P 2E5, Canada",(416) 932-2222,4.5,https://www.yelp.com/biz/yonge-eglinton-dental-centre-toronto?osq=Dentists,43.708852,-79.398404,"General Dentistry,General Dentistry,Cosmetic Dentists,Cosmetic Dentists,Periodontists,Periodontists","Yonge and Eglinton,Mount Pleasant and Davisville"
3,gz1FhM5W1ld-dwgYV5xRZQ,Kingwest Dental,https://s3-media3.fl.yelpcdn.com/bphoto/30Xt4QH3nJWrkhY7K-gZqQ/90s.jpg,23 reviews,"700 King Street W, Toronto, ON M5V 2Y6, Canada",(416) 477-5510,4.5,https://www.yelp.com/biz/kingwest-dental-toronto?osq=Dentists,43.644133,-79.403265,"Cosmetic Dentists,General Dentistry,Pediatric Dentists",Niagara
4,NlHvb7LCOzTyX_mUqE_2dg,Bathurst-Dupont Dental,https://s3-media3.fl.yelpcdn.com/bphoto/QO_hOUy5_HTwvW8ZHnvIVQ/90s.jpg,5 reviews,"1076 Bathurst Street, Toronto, ON M5R 3G9, Canada",(416) 531-3451,5,https://www.yelp.com/biz/bathurst-dupont-dental-toronto?osq=Dentists,43.672457,-79.414364,"General Dentistry,Dental Hygienists",Seaton Village
5,pZLw7NeKf_pRgrVPqS7PMw,Metropolitan Dental,https://s3-media2.fl.yelpcdn.com/bphoto/GrcpMfGm9ZlF0or0uxWgZg/90s.jpg,23 reviews,"101 College St, Toronto, ON M5G 1L7, Canada",(416) 348-0000,4.5,https://www.yelp.com/biz/metropolitan-dental-toronto?osq=Dentists,43.659804,-79.388788,"General Dentistry,General Dentistry","Discovery District,Downtown Core"
6,I6suYpV7mM39v_M65NkmUA,Dentists on Bloor,https://s3-media3.fl.yelpcdn.com/bphoto/tOQx-xgYSAME6ipKENHW4w/90s.jpg,14 reviews,"964 Bloor Street W, Toronto, ON M6H 1L6, Canada",(416) 588-8839,4.5,https://www.yelp.com/biz/dentists-on-bloor-toronto?osq=Dentists,43.661474,-79.428948,"General Dentistry,Cosmetic Dentists,Endodontists",Dovercourt
7,8ab2qhEepn9zFeCY5wlKJQ,"Peter Friedman, MD",https://s3-media1.fl.yelpcdn.com/bphoto/sc7-3HumNmmO0acUwLHGjQ/90s.jpg,8 reviews,"56 Wellington Street E., Toronto, ON M5E 1C7, Canada",(416) 865-9494,5,https://www.yelp.com/biz/peter-friedman-md-toronto?osq=Dentists,43.648716,-79.374384,"General Dentistry,General Dentistry","St. Lawrence,Downtown Core"
8,Bj617ckQhnX4EKyM3mo6Ug,Leaside Village Dental,https://s3-media3.fl.yelpcdn.com/bphoto/YBuk7hFwmlf6dAlvxv_wdg/90s.jpg,6 reviews,"85 Laird Drive, Toronto, ON M4G 3T7, Canada",(647) 846-8887,5,https://www.yelp.com/biz/leaside-village-dental-toronto-2?osq=Dentists,43.70578,-79.360983,"General Dentistry,Cosmetic Dentists",
9,2-fzGk698M7VgMg7nGBKYQ,Mint Dentistry,https://s3-media4.fl.yelpcdn.com/bphoto/IDD23qrbh67W4JZDhuesHg/90s.jpg,13 reviews,"106-1153 Queen Street W, Toronto, ON M6J 1J4, Canada",(416) 516-6468,4,https://www.yelp.com/biz/mint-dentistry-toronto?osq=Dentists,43.645329,-79.41255,"Cosmetic Dentists,General Dentistry,Endodontists",West Queen West
10,MRNktFjl623j9IZhxuEhSg,Cherry Blossom Dentistry,https://s3-media3.fl.yelpcdn.com/bphoto/ofHDYujlriHl0B7KrlKUqw/90s.jpg,8 reviews,"2299 Dundas Street W, Toronto, ON M6R 1X7, Canada",(416) 538-3384,5,https://www.yelp.com/biz/cherry-blossom-dentistry-toronto?osq=Dentists,43.655557,-79.452653,General Dentistry,High Park
11,f_Ol9lKN_YXBZgIMCZ4KOg,"Deidre Denis, DDS",https://s3-media1.fl.yelpcdn.com/bphoto/PFFevoU9bZknykf5ahI3lw/90s.jpg,5 reviews,"2401 Yonge Street, Toronto, ON M4P 3H1, Canada",(416) 483-4343,5,https://www.yelp.com/biz/deidre-denis-dds-toronto?osq=Dentists,43.710237,-79.39885,"Cosmetic Dentists,Cosmetic Dentists,General Dentistry,General Dentistry","Yonge and Eglinton,Mount Pleasant and Davisville"
12,Kb56zg-WgIXMv4C66F80qw,Archer Dental Runnymede,https://s3-media2.fl.yelpcdn.com/bphoto/-I93075_R2Rqte7MY_8NYQ/90s.jpg,5 reviews,"625 Runnymede Road, Toronto, ON M6S 3A3, Canada",(416) 763-2000,5,https://www.yelp.com/biz/archer-dental-runnymede-toronto-2?osq=Dentists,43.664182,-79.48113,"Dental Hygienists,General Dentistry,Cosmetic Dentists",The Junction
13,AWLLMu6mkiiIbjcKyEgDbw,Parkview Dental,https://s3-media1.fl.yelpcdn.com/bphoto/QtS93Stfh2X9it43ofdRLQ/90s.jpg,5 reviews,"600 Fleet Street, Toronto, ON M5V 1B7, Canada",(416) 640-0484,4.5,https://www.yelp.com/biz/parkview-dental-toronto?osq=Dentists,43.636706,-79.400081,"General Dentistry,Cosmetic Dentists,Oral Surgeons",
14,GP3r9MZ2Pt9cR7UHrx9lbQ,Riverside Dental,https://s3-media1.fl.yelpcdn.com/bphoto/fO3hUHrdBzJuAMT8Z3XYKw/90s.jpg,13 reviews,"690 Queen Street E, Toronto, ON M4M 1H1, Canada",(647) 348-6900,5,https://www.yelp.com/biz/riverside-dental-toronto?osq=Dentists,43.658978,-79.350673,General Dentistry,Riverdale
15,RzKR1EMiXF7ImgX0Lj_QGg,Fort York Dentist,https://s3-media3.fl.yelpcdn.com/bphoto/WnTbHBZ8Gsd1CqAFwY5KtQ/90s.jpg,3 reviews,"107 219 Fort York Boulevard, Toronto, ON M5V 1B1, Canada",(647) 346-8888,5,https://www.yelp.com/biz/fort-york-dentist-toronto?osq=Dentists,43.637016,-79.405577,"Cosmetic Dentists,General Dentistry",
16,fy0kU41bW5HHgqgA_GJTsQ,Baywell Dental Centre,https://s3-media4.fl.yelpcdn.com/bphoto/5jF0tq0dmtBGZ0R7jvXXag/90s.jpg,6 reviews,"1033 Bay Street, Toronto, ON M5S 3A5, Canada",(416) 961-6630,5,https://www.yelp.com/biz/baywell-dental-centre-toronto?osq=Dentists,43.665913,-79.38768,"General Dentistry,Cosmetic Dentists,Orthodontists",Downtown Core
17,xrjVhgl1BjYvyDq9qEfxCw,Junctionwest Dental,https://s3-media1.fl.yelpcdn.com/bphoto/xiZuUwUlSVvnBETh2rUj9w/90s.jpg,2 reviews,"2902 Dundas St W, Toronto, ON M6P 1Y8, Canada",(416) 551-2738,5,https://www.yelp.com/biz/junctionwest-dental-toronto?osq=Dentists,43.665641,-79.466295,"Cosmetic Dentists,General Dentistry",The Junction
18,ZTBAsrRIyR1sJjQbjB-73g,Janice Goodman & Associates,https://s3-media1.fl.yelpcdn.com/bphoto/IyGJHcrXukH3c0ljnrcqCA/90s.jpg,19 reviews,"600 Sherbourne Street, Suite 815, Toronto, ON M4X 1W4, Canada",(416) 928-0189,4.5,https://www.yelp.com/biz/janice-goodman-and-associates-toronto?osq=Dentists,43.671632,-79.376877,"General Dentistry,Cosmetic Dentists,Endodontists",
19,QCq7ykXnyMPjb2VL7zzhQQ,Harbord Dentistry,https://s3-media3.fl.yelpcdn.com/bphoto/ZjFqLiO4uPPdWAyiSQgMCQ/90s.jpg,5 reviews,"91 Harbord Street, Toronto, ON M5S 1G4, Canada",(416) 546-5416,5,https://www.yelp.com/biz/harbord-dentistry-toronto?osq=Dentists,43.662617,-79.403462,"General Dentistry,Periodontists,Cosmetic Dentists",
20,oixoe-aJJL2Kf_qS2Yimrg,Queen Street Dental Centre,https://s3-media1.fl.yelpcdn.com/bphoto/4YHyi23H4W2ZDkQhhAa44w/90s.jpg,10 reviews,"930 Queen St E, Toronto, ON M4M 1J5, Canada",(416) 469-5261,4.5,https://www.yelp.com/biz/queen-street-dental-centre-toronto?osq=Dentists,43.660886,-79.341673,"General Dentistry,Cosmetic Dentists",Leslieville
21,#NAME?,Brown Lancelot A,https://s3-media4.fl.yelpcdn.com/bphoto/T6SdfKsNhCVy5XQ9kM86DA/90s.jpg,7 reviews,"40 Scollard Street, Toronto, ON M5R 3S1, Canada",(416) 922-9040,4.5,https://www.yelp.com/biz/brown-lancelot-a-toronto?osq=Dentists,43.672554,-79.389571,"General Dentistry,Cosmetic Dentists",Yorkville
22,Q2ybMreVvUm34zz_CAMALw,Dufferin Mall Dental,https://s3-media1.fl.yelpcdn.com/bphoto/gTsgkBopXSdcCH-JrillIw/90s.jpg,3 reviews,"900 Dufferin Street, Toronto, ON M6H 4A9, Canada",(416) 536-0720,5,https://www.yelp.com/biz/dufferin-mall-dental-toronto?osq=Dentists,43.655817,-79.435362,General Dentistry,Brockton Village
